system,workload,stage,block_latency,classifier_latency
sys_EYYY,0_4_5_7_11,2,221862.0,19855.0
sys_EYYY,0_4_5_7_11,3,46335.0,34975.0
sys_EYYY,0_4_5_7_11,4,96510.0,77026.0
sys_EYYY,0_4_5_7_11,5,276666.0,213162.0
sys_EYYY,2_3_4_5_9_11,1,96766.0,11432.0
sys_EYYY,2_3_4_5_9_11,2,51456.0,19855.0
sys_EYYY,2_3_4_5_9_11,3,72190.0,19855.0
sys_EYYY,2_3_4_5_9_11,4,46335.0,34975.0
sys_EYYY,2_3_4_5_9_11,5,246085.0,55712.0
sys_EYYY,2_3_4_5_9_11,6,138047.0,213162.0
sys_EYYY,0_1_5_8_9_11,1,12160.0,9752.0
sys_EYYY,0_1_5_8_9_11,2,32768.0,20427.0
sys_EYYY,0_1_5_8_9_11,3,221819.0,34975.0
sys_EYYY,0_1_5_8_9_11,4,180986.0,77026.0
sys_EYYY,0_1_5_8_9_11,5,54143.0,55712.0
sys_EYYY,0_1_5_8_9_11,6,138047.0,213162.0
sys_EYYY,2_3_4_5_6_9_11,1,96057.0,11432.0
sys_EYYY,2_3_4_5_6_9_11,2,51456.0,35947.0
sys_EYYY,2_3_4_5_6_9_11,3,72190.0,19855.0
sys_EYYY,2_3_4_5_6_9_11,4,46335.0,34975.0
sys_EYYY,2_3_4_5_6_9_11,5,44287.0,34975.0
sys_EYYY,2_3_4_5_6_9_11,6,203601.0,55712.0
sys_EYYY,2_3_4_5_6_9_11,7,137995.0,213162.0
sys_MMMM,6_11,1,464479.0,35135.0
sys_MMMM,6_11,2,704281.0,214719.0
sys_MMMM,2_8_11,1,167306.0,11495.0
sys_MMMM,2_8_11,2,631639.0,77279.0
sys_MMMM,2_8_11,3,361111.0,214719.0
sys_MMMM,0_4_5_7_11,1,29987.0,5359.0
sys_MMMM,0_4_5_7_11,2,318651.0,19935.0
sys_MMMM,0_4_5_7_11,3,54657.0,35135.0
