system,composition,homogeneous,workload,label,n_exits,accuracy,avg_et,avg_latency,avg_energy,et_reduction,classifier_share
sys_EEMY,EEMY,False,0_1_5_8_9_11,0_1_5_8_9_11_iter_2,6,88.51,478.1715720297784,567300.7279,0.0006354468736098324,1.5843043371610541,0.38263909252975487
sys_EEMY,EEMY,False,2_3_4_5_6_9_11,2_3_4_5_6_9_11_iter_6,7,88.53999999999999,492.2970810498953,553598.5560999999,0.000624660787762147,1.5477612108939367,0.3805249699453629
sys_EEYY,EEYY,False,6_11,6_11_iter_0,2,87.28,374.18111047420473,493034.5038,0.000610280308472422,1.8998632983891244,0.27743186267549336
sys_EEYY,EEYY,False,2_8_11,2_8_11_iter_0,3,87.35,381.16611668936974,472581.7615,0.0005584592968878122,1.918449598558497,0.315306180051307
sys_EEYY,EEYY,False,0_4_5_7_11,0_4_5_7_11_iter_0,5,88.03999999999999,389.1003109117304,483583.4595,0.000539829559887666,1.8701563120193903,0.34654476068383677
sys_EEYY,EEYY,False,2_3_4_5_9_11,2_3_4_5_9_11_iter_3,6,88.4,478.2750138062173,550932.2227,0.0006284837004786978,1.5338649798774355,0.349607051408312
sys_EEYY,EEYY,False,0_1_5_8_9_11,0_1_5_8_9_11_iter_2,6,88.51,478.16046098628874,567287.4927,0.0006354500694990458,1.5843563692975253,0.382612079527216
sys_EEYY,EEYY,False,2_3_4_5_6_9_11,2_3_4_5_6_9_11_iter_6,7,88.53999999999999,500.3539670834092,556735.4329,0.0006300532066333198,1.5531673554180283,0.37815366304988585
sys_EYYY,EYYY,False,6_11,6_11_iter_0,2,87.28,405.9957121405931,516343.38899999997,0.0006345387877945549,1.9193870218737776,0.26691730132094144
sys_EYYY,EYYY,False,2_8_11,2_8_11_iter_0,3,87.35,408.12782060337906,487402.993,0.0005792111964500519,1.9342998495517945,0.30621302826374075
sys_EYYY,EYYY,False,0_4_5_7_11,0_4_5_7_11_iter_0,5,88.03999999999999,402.99780308730215,495402.949,0.000551514051181908,1.866544405963718,0.3423593425987636
sys_EYYY,EYYY,False,2_3_4_5_9_11,2_3_4_5_9_11_iter_3,6,88.4,485.26957631213884,557484.944,0.0006280687047713751,1.543233331490735,0.34604976614241234
